City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
65,Bathsheba,BB,2022-03-13 16:40:42,13.2167,-59.5167,83.01,65,40,23.02
66,Namibe,AO,2022-03-13 16:40:43,-15.1961,12.1522,75.83,73,100,20.71
67,Vila Franca Do Campo,PT,2022-03-13 16:40:43,37.7167,-25.4333,59.41,57,71,18.48
68,Aswan,EG,2022-03-13 16:40:43,24.0934,32.907,72.7,12,0,9.22
69,Dakar,SN,2022-03-13 16:35:59,14.6937,-17.4441,92.28,53,5,11.5
70,Tarsus,TR,2022-03-13 16:40:44,36.9188,34.8784,42.67,66,96,4.16
71,Longyearbyen,SJ,2022-03-13 16:40:44,78.2186,15.6401,21.04,93,0,6.91
72,Ostrovnoy,RU,2022-03-13 16:40:44,68.0531,39.5131,26.94,88,100,6.87
73,Pedernales,DO,2022-03-13 16:40:45,18.0384,-71.744,83.43,65,100,5.14
74,Saldanha,ZA,2022-03-13 16:40:45,-33.0117,17.9442,66.25,69,99,18.23
75,Mordovo,RU,2022-03-13 16:40:46,52.0834,40.77,6.85,99,88,5.39
76,Krasnokamsk,RU,2022-03-13 16:40:46,58.0802,55.7541,19.15,94,100,6.26
77,Qaanaaq,GL,2022-03-13 16:40:46,77.484,-69.3632,-9.76,88,100,7.56
78,Fecamp,FR,2022-03-13 16:40:47,49.7579,0.3746,51.51,77,100,13.76
79,Paita,PE,2022-03-13 16:40:47,-5.0892,-81.1144,82.74,64,53,10.18
80,Richards Bay,ZA,2022-03-13 16:37:24,-28.783,32.0377,78.4,78,0,14.0
81,Dogondoutchi,NE,2022-03-13 16:40:48,13.6393,4.0287,98.62,10,77,9.53
82,Atar,MR,2022-03-13 16:40:48,20.5169,-13.0499,91.27,5,0,9.57
83,Batatais,BR,2022-03-13 16:40:48,-20.8911,-47.585,80.58,78,91,5.39
84,Ilulissat,GL,2022-03-13 16:40:49,69.2167,-51.1,5.02,61,40,0.0
85,Mont-De-Marsan,FR,2022-03-13 16:40:49,44.0,-0.6667,58.82,41,0,3.44
86,Mayor Pablo Lagerenza,PY,2022-03-13 16:40:49,-19.9309,-60.7718,79.79,44,99,5.97
87,Omboue,GA,2022-03-13 16:41:50,-1.5746,9.2618,81.36,75,97,6.06
88,Opuwo,NA,2022-03-13 16:41:50,-18.0607,13.84,69.66,80,100,14.2
89,Vila Velha,BR,2022-03-13 16:41:51,-20.3297,-40.2925,89.55,70,20,14.97
90,Mizdah,LY,2022-03-13 16:41:51,31.4451,12.9801,64.81,24,17,2.39
91,Krasnoselkup,RU,2022-03-13 16:41:51,65.7,82.4667,-4.41,100,86,8.81
92,Birjand,IR,2022-03-13 16:41:52,32.8663,59.2211,68.47,34,100,6.91
93,Camocim,BR,2022-03-13 16:41:52,-2.9022,-40.8411,82.31,77,83,8.1
94,Eyl,SO,2022-03-13 16:41:52,7.9803,49.8164,77.13,76,38,18.43
95,Yar-Sale,RU,2022-03-13 16:41:53,66.8333,70.8333,0.16,100,98,5.99
96,Caravelas,BR,2022-03-13 16:41:53,-17.7125,-39.2481,85.05,61,84,8.3
97,Kutum,SD,2022-03-13 16:41:53,14.2,24.6667,79.92,12,50,9.04
98,Chuchkovo,RU,2022-03-13 16:41:54,54.2693,41.4465,25.38,96,100,11.23
99,Tasiilaq,GL,2022-03-13 16:41:54,65.6145,-37.6368,32.16,86,83,12.95
100,Santa Fe,AR,2022-03-13 16:41:54,-31.6333,-60.7,79.0,41,29,3.0
