City_ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Date
193,Sortland,NO,68.6949,15.4162,35.56,74,100,6.04,2022-03-13 19:50:17
194,Nacala,MZ,-14.5428,40.6728,78.53,85,100,5.53,2022-03-13 19:50:17
195,Nokaneng,BW,-19.6667,22.2667,74.17,61,45,5.1,2022-03-13 19:50:18
196,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,95.99,26,64,5.37,2022-03-13 19:47:15
197,Novonikolayevskiy,RU,50.9738,42.3649,1.94,98,46,6.51,2022-03-13 19:50:18
198,Grand Gaube,MU,-20.0064,57.6608,79.38,85,56,7.0,2022-03-13 19:50:18
199,Sidi Ali,DZ,36.0998,0.4206,56.12,72,100,6.08,2022-03-13 19:50:19
200,Yar-Sale,RU,66.8333,70.8333,-1.26,100,99,5.82,2022-03-13 19:50:19
201,Dikson,RU,73.5069,80.5464,-5.73,98,100,16.26,2022-03-13 19:50:20
202,Funtua,NG,11.5233,7.3081,76.82,17,100,11.18,2022-03-13 19:50:20
203,Harper,LR,4.375,-7.7169,80.62,83,87,9.04,2022-03-13 19:50:20
204,Puerto Leguizamo,CO,-0.1934,-74.7819,83.16,80,97,2.98,2022-03-13 19:50:21
205,Lavumisa,SZ,-27.31,31.892,70.41,91,0,3.33,2022-03-13 19:50:21
206,Santiago Del Estero,AR,-27.7951,-64.2615,79.88,46,15,5.3,2022-03-13 19:50:21
207,Peterhead,GB,57.5058,-1.7981,45.0,94,100,28.95,2022-03-13 19:50:22
208,Toktogul,KG,41.8708,72.9402,45.57,97,100,3.36,2022-03-13 19:50:22
209,Gornoye Loo,RU,43.7129,39.6049,31.78,78,51,5.99,2022-03-13 19:50:22
210,Clonakilty,IE,51.6231,-8.8706,43.81,79,8,8.77,2022-03-13 19:50:23
211,Kavos,GR,38.8268,22.8322,40.21,74,48,2.08,2022-03-13 19:50:23
212,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,76.82,51,100,5.03,2022-03-13 19:50:23
213,Raudeberg,NO,61.9875,5.1352,44.87,69,100,8.48,2022-03-13 19:50:24
214,Alekseyevka,RU,50.6309,38.6903,5.83,98,83,3.96,2022-03-13 19:50:24
215,Abu Kamal,SY,34.4506,40.9171,49.03,63,99,14.63,2022-03-13 19:50:25
