City_ID,City,Country,Max Temp,Lat,Lon,Hotel Name
130,Coromandel,BR,70.45,-18.4733,-47.2003,Hotel Dona Adélia
135,Camacha,PT,58.42,33.0833,-16.3333,Hotel Porto Santo & Spa
136,Montepuez,MZ,71.11,-13.1256,38.9997,PembaAparthotel
138,Bluffton,US,55.02,32.2371,-80.8604,Holiday Inn Express & Suites Bluffton @ Hilton Head Area
139,Santa Vitoria Do Palmar,BR,69.84,-33.5189,-53.3681,Hostel Comodoro
140,Murgab,TM,53.47,37.4966,61.9714,
146,Lebu,CL,63.73,-37.6167,-73.65,Hostal Las Lilas
148,Valavanur,IN,73.67,11.9209,79.5824,ஸ்ரீ செல்வ வினாயகர் கோவில்
157,Arlit,NE,73.94,18.7369,7.3853,Case de Passage De la Prefecture
159,Dawlatabad,AF,60.26,36.4141,64.9053,WASIM ASGAR KHAN
161,Kutum,SD,72.37,14.2,24.6667,Dibbo areaمنطقة دبو
164,Opuwo,,66.83,-18.0607,13.84,ABBA Guesthouse
167,Kruisfontein,ZA,61.88,-34.0033,24.7314,Oyster Bay House Rental
168,Alfafar,ES,59.99,39.4167,-0.3833,Hotel Albufera
174,Masvingo,ZW,65.03,-20.0637,30.8277,River Side Lodge
175,Kaputa,ZM,66.83,-8.4689,29.6619,Chelelwa Charlets
183,Trapani,IT,52.23,37.8333,12.6667,
187,North Myrtle Beach,US,51.35,33.816,-78.68,Avista Resort
190,Nouadhibou,MR,66.18,20.931,-17.0347,El Medina
191,Kindu,CD,71.01,-2.95,25.95,Résidence Okanda
195,Nokaneng,BW,74.17,-19.6667,22.2667,
199,Sidi Ali,DZ,56.12,36.0998,0.4206,
205,Lavumisa,SZ,70.41,-27.31,31.892,ROADSIDE B&B
217,Watsa,CD,64.35,3.0372,29.5355,Hôtel Le Pacifique
219,Robertson,US,54.05,36.5167,-86.8667,Hampton Inn Springfield
226,Bud,US,52.93,39.447,-86.1758,Ted McQuinn Trust
227,Adrar,MR,74.98,20.5022,-10.0711,
230,Tabuk,PH,71.2,17.4189,121.4443,Golden Berries Hotel and Convention
232,Oranjemund,,63.72,-28.55,16.4333,The Fisherman's Cove
236,Valparaiso,CL,66.43,-33.0393,-71.6273,Hotel Ultramar
241,Mocuba,MZ,71.71,-16.8392,36.9856,Phama Lodge
244,Indergarh,IN,71.02,26.9352,79.6724,ANCH COMPUTER
245,Bilma,NE,71.13,18.6853,12.9164,Expeditions Ténére voyages
258,Swakopmund,,68.85,-22.6833,14.5333,Hotel Deutsches Haus
261,Ambilobe,MG,74.05,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
265,Tiznit,MA,53.73,29.5833,-9.5,
269,Benghazi,LY,54.54,32.1167,20.0667,Tibesti Hotel
